rank,idx,score,label_id,class_name,cx,cy,cz,l,w,h,yaw
1,0,0.012080992572009563,2,Pedestrian,32.77004623413086,15.426180839538574,7.013245582580566,0.7286328673362732,0.6648723483085632,1.795153021812439,-0.2416737675666809
2,1,0.00976213626563549,1,Car,34.53851318359375,-5.382634162902832,6.900648593902588,3.878589630126953,1.6458569765090942,1.5228508710861206,0.238840252161026
3,2,0.006016676779836416,1,Car,18.191516876220703,8.082976341247559,4.845165252685547,4.292844295501709,1.5624353885650635,1.4932395219802856,-1.020999789237976
4,3,0.0030830984469503164,1,Car,28.050979614257812,-3.705261707305908,6.47050666809082,3.8566884994506836,1.9001981019973755,1.5959945917129517,-0.2950863540172577
5,4,0.0015364059945568442,1,Car,15.88035774230957,15.465399742126465,6.960451126098633,3.9368784427642822,1.532763957977295,1.5494805574417114,-0.8983508944511414
6,5,0.0012000895803794265,3,Cyclist,33.89326095581055,15.485703468322754,4.925078392028809,1.5645393133163452,0.4510628581047058,1.632309913635254,0.5577065348625183
7,6,0.0008541299030184746,3,Cyclist,21.07988166809082,-4.217682838439941,4.7363080978393555,1.5787800550460815,0.30651217699050903,1.6403154134750366,0.3371071219444275
8,7,0.00043509810348041356,3,Cyclist,14.877913475036621,10.480790138244629,4.131744861602783,1.5502270460128784,0.5683377981185913,1.7558232545852661,0.8736357688903809
9,8,0.00041316996794193983,3,Cyclist,33.69483184814453,16.14493179321289,5.0584821701049805,1.3130853176116943,0.3357643783092499,1.5639182329177856,0.42252498865127563
10,9,0.0003955199499614537,1,Car,24.462574005126953,2.179011821746826,4.681593418121338,3.8682801723480225,1.6731245517730713,1.5287060737609863,1.6052265167236328
